WBGene00000001	180
WBGene00000002	0
WBGene00000003	16
WBGene00000004	4
WBGene00000005	0
WBGene00000006	0
WBGene00000007	15
WBGene00000008	7
WBGene00000009	0
WBGene00000010	27
WBGene00000012	34
WBGene00000013	0
WBGene00000014	0
WBGene00000015	0
WBGene00000016	0
WBGene00000017	2
WBGene00000018	0
WBGene00000019	0
WBGene00000020	0
WBGene00000021	5
WBGene00000022	0
WBGene00000023	0
WBGene00000024	0
WBGene00000025	0
WBGene00000026	0
WBGene00000027	4
WBGene00000028	0
WBGene00000029	0
WBGene00000030	0
WBGene00000031	2
WBGene00000032	0
WBGene00000033	0
WBGene00000034	1
WBGene00000035	44
WBGene00000036	0
WBGene00000037	0
WBGene00000038	1
WBGene00000039	6
WBGene00000040	0
WBGene00000041	22
WBGene00000042	0
WBGene00000043	0
WBGene00000044	68
WBGene00000045	0
WBGene00000046	904
WBGene00000047	0
WBGene00000048	0
WBGene00000049	0
WBGene00000050	0
WBGene00000051	17
WBGene00000053	0
WBGene00000054	0
WBGene00000055	4
WBGene00000056	2
WBGene00000057	0
WBGene00000058	8
WBGene00000059	70
WBGene00000060	0
WBGene00000061	0
WBGene00000062	0
WBGene00000063	3
WBGene00000064	0
WBGene00000065	0
WBGene00000066	10
WBGene00000067	2
WBGene00000068	24
WBGene00000069	4
WBGene00000070	0
WBGene00000071	44
WBGene00000072	4
WBGene00000073	48
WBGene00000074	2
WBGene00000075	5
WBGene00000079	0
WBGene00000080	6
WBGene00000081	24
WBGene00000082	44
WBGene00000083	16
WBGene00000084	0
WBGene00000085	0
WBGene00000086	4
WBGene00000088	81
WBGene00000089	1
WBGene00000090	62
WBGene00000092	597
WBGene00000093	10
WBGene00000094	93
WBGene00000095	82
WBGene00000096	12
WBGene00000097	0
WBGene00000098	0
WBGene00000099	0
WBGene00000100	5546
WBGene00000101	8
WBGene00000102	98
WBGene00000103	2
WBGene00000105	2
WBGene00000106	8
WBGene00000107	6
WBGene00000108	3
WBGene00000109	6
WBGene00000110	8
WBGene00000111	0
WBGene00000112	4
WBGene00000113	0
WBGene00000114	50
WBGene00000115	2
WBGene00000116	7
WBGene00000117	0
WBGene00000118	0
WBGene00000120	2
WBGene00000121	4
WBGene00000122	0
WBGene00000123	1
WBGene00000133	0
WBGene00000134	0
WBGene00000135	5
WBGene00000136	0
WBGene00000137	0
WBGene00000138	0
WBGene00000139	44
WBGene00000140	23
WBGene00000142	38
WBGene00000143	0
WBGene00000144	0
WBGene00000145	2
WBGene00000146	9
WBGene00000147	1
WBGene00000148	10
WBGene00000149	15
WBGene00000150	8
WBGene00000151	339
WBGene00000155	0
WBGene00000156	7
WBGene00000157	0
WBGene00000158	139
